Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230812.png,129,115,78,125.56,113.76,79.12,3.721075113458475,3.203498088028149,5.722377128431856,0
20230812.png,121,119,78,119.04,117.44,76.24,4.151915220714411,3.847908522821197,3.9423850649067758,0
20230812.png,99,108,61,95.12,114.0,60.8,8.486789734640539,4.09878030638384,4.613025037868319,0
20230812.png,86,108,59,89.6,112.6,62.2,5.253570214625479,6.740919818541088,2.5922962793631443,0
20230811.png,107,120,67,107.16,120.16,67.96,3.517726538547304,3.4021169879943867,2.6904274753280375,0
20230811.png,92,121,63,94.32,121.96,62.56,4.872124793147235,2.9048924248584482,1.9815145722401344,0
20230811.png,86,110,48,89.08,115.52,54.68,4.906485503901952,2.317239737273638,3.37899393311086,0
20230811.png,122,120,82,122.08,120.08,82.28,0.9765244492586961,1.4945233353815521,1.249639948145065,0
20230811.png,95,122,71,96.48,121.72,71.4,7.446448818060861,5.149912620617945,5.844655678480984,0
20230811.png,113,106,78,112.48,104.68,76.88,4.021144115795902,3.355234716081722,3.4907878766834304,0
20230811.png,121,110,78,123.8,112.84,80.28,2.6229754097208007,2.5873538606073962,2.2894540834006696,0
20230811.png,114,112,74,113.84,110.72,73.28,8.166663945577778,3.7472122971617168,5.063753548505297,0
20230802.png,123,123,85,121.12,120.84,82.6,3.7557422701777603,2.722939588018801,3.03315017762062,0
20230802.png,127,124,83,127.92,125.16,84.92,7.298876625892508,4.763863977907009,4.489276110911424,0
20230802.png,109,115,71,112.4,117.32,74.24,6.979971346646059,2.1857721747702796,5.1558122541458005,0
20230802.png,124,110,81,124.04,111.44,80.44,3.20599438552222,1.4718695594379274,3.060457482142172,0
20230802.png,82,113,54,82.68,113.0,54.64,4.163844377495392,3.6,3.948468057360981,0
20230802.png,111,114,69,111.44,114.44,69.96,2.546841180757058,1.722324011328879,4.275324549083964,0
20230802.png,98,117,62,92.68,114.32,56.52,4.173439828247197,1.6666133324799721,4.648612696278321,0
20230802.png,142,129,94,138.88,131.0,91.48,7.061557901766438,7.138627319029899,5.974077334618293,0
20230802.png,88,111,59,90.72,113.52,60.72,4.238112787550609,4.850731903537857,2.506312031651287,0
20230728.png,113,133,74,115.32,132.64,73.88,3.574576898039822,1.5717506163510802,1.6569852141766384,0
20230728.png,105,132,65,104.08,131.52,64.88,1.6951696080333671,2.729395537477117,1.6079800993793427,0
20230728.png,79,113,52,84.92,117.36,52.8,5.556401713339308,4.471062513541943,2.465765601187591,0
20230728.png,140,132,96,143.24,131.48,97.48,4.310730796512349,5.448816385234503,4.167685208841954,0
20230728.png,120,121,79,119.0,119.96,77.88,3.919183588453085,2.0095770699328748,2.68804761862583,0
20230728.png,128,130,93,126.68,128.2,91.24,5.971398496164864,3.9899874686520005,5.508393595232643,0
20230728.png,145,144,100,139.84,140.68,96.48,5.0491979561114455,3.0818176454813146,3.9204081420178696,0
20230728.png,149,138,106,149.72,137.76,106.2,4.395634197701169,2.1592591322025254,4.280186911806539,0
20230728.png,130,115,86,126.6,112.8,83.6,3.4756294393965534,1.2961481396815722,1.7204650534085253,0
